Date,Close,Price,Log_Returns
2026-06-02,1789.9,1789.9,-0.003680575201119095
2026-06-03,1788.5,1788.5,-0.0007824726533819169
2026-06-04,1780.1,1780.1,-0.004707737215685217
2026-06-05,1782.2,1782.2,0.0011790136952323379
2026-06-08,1788.8,1788.8,0.0036964477821605666
2026-06-09,1779.0,1779.0,-0.00549359529494488
2026-06-10,1786.4,1786.4,0.0041510128601130805
2026-06-11,1794.2,1794.2,0.004356818599234974
2026-06-12,1807.7,1807.7,0.007496078855625517
2026-06-15,1806.0,1806.0,-0.0009408640038780007
2026-06-16,1800.7,1800.7,-0.002938976801470943
2026-06-17,1820.4,1820.4,0.010880778967027152
2026-06-18,1824.8,1824.8,0.002414134827691387
2026-06-19,1838.3,1838.3,0.0073708395186477555
2026-06-22,1862.9,1862.9,0.013293181806836939
2026-06-23,1868.0,1868.0,0.002733926493124963
2026-06-24,1874.4,1874.4,0.0034202684047979965
2026-06-25,1862.8,1862.8,-0.006207876085363876
2026-06-29,1874.8,1874.8,0.006421254940329004
2026-06-30,1862.5,1862.5,-0.006582315794836424
2026-07-01,1866.2,1866.2,0.001984606546206948
2026-07-02,1871.0,1871.0,0.0025687694741679326
2026-07-03,1904.8,1904.8,0.017903968898563435
2026-07-06,1912.8,1912.8,0.004191120971461888
2026-07-07,1903.4,1903.4,-0.004926376505871827
2026-07-08,1888.2,1888.2,-0.008017766339826824
2026-07-09,1938.7,1938.7,0.02639365104674557
2026-07-10,1935.5,1935.5,-0.0016519543274590525
2026-07-13,1921.4,1921.4,-0.007311604042064648
2026-07-14,1942.6,1942.6,0.010973194992592002
2026-07-15,1951.5,1951.5,0.00457102565243942
2026-07-16,1950.1,1950.1,-0.0007176543264745853
2026-07-17,1932.6,1932.6,-0.009014406728986915
2026-07-20,1956.4,1956.4,0.012239803099994041
2026-07-21,1961.9,1961.9,0.0028073417615810206
2026-07-22,1943.0,1943.0,-0.009680221049343131
2026-07-23,1954.0,1954.0,0.00564538322528804
2026-07-24,1941.1,1941.1,-0.006623730925682471
2026-07-27,1973.7,1973.7,0.01665513108301623
2026-07-28,1976.7,1976.7,0.0015188338278220525
2026-07-29,1989.9,1989.9,0.006655598611736068
2026-07-30,2001.1,2001.1,0.005612643147897809
2026-07-31,1990.5,1990.5,-0.005311165907145845
2026-08-03,1963.5,1963.5,-0.013657268422307583
2026-08-04,1964.0,1964.0,0.0002546148963468449
2026-08-05,1940.0,1940.0,-0.012295236857037354
2026-08-06,1951.0,1951.0,0.005654088565737375
2026-08-07,1945.0,1945.0,-0.003080084570564535
2026-08-10,1944.4,1944.4,-0.00030853088124619093
2026-08-11,1942.0,1942.0,-0.0012350763200302728
2026-08-12,1944.0,1944.0,0.0010293361691140592
2026-08-13,1932.0,1932.0,-0.006191970247921107
2026-08-14,1930.0,1930.0,-0.0010357328735320908
2026-08-17,1882.0,1882.0,-0.025184961753606336
2026-08-18,1875.1,1875.1,-0.0036730498296521793
2026-08-19,1900.0,1900.0,0.013191894838858959
2026-08-20,1904.0,1904.0,0.00210305019677889
2026-08-21,1902.4,1902.4,-0.0008406894147932353
2026-08-24,1910.0,1910.0,0.003986995104158214
2026-08-25,1922.0,1922.0,0.006263068489562273
2026-08-26,1899.5,1899.5,-0.011775616902557524
2026-08-27,1913.3,1913.3,0.007238806263276876
2026-08-28,1920.0,1920.0,0.003495686130870237
2026-08-31,1984.8,1984.8,0.033192967355763964
2026-09-01,1984.8,1984.8,0.0
