Greek,Before_Hedge,After_Hedge
Delta,11.910971062750018,0.0
Gamma,0.035590962775174394,0.0
Vega,20.263295259990652,-25.100618202386098
Theta,-7.578383026734942,-1.565318258876598
Rho,26.04814333361495,-6.9879143710089515
