Volatility_Type,Volatility_Used,Strike,Maturity_Days,Type,delta,gamma,vega,theta,rho
Historical,0.1439212048131318,1800.411,30,Call,0.9182296681929978,0.00193286454796782,0.8212037855638716,-0.4877697282697305,1.3421015288183165
Historical,0.1439212048131318,1800.411,30,Put,-0.08177033180700222,0.00193286454796782,0.8212037855638716,-0.16885693129033513,-0.12980368800966216
Historical,0.1439212048131318,1800.411,60,Call,0.8624359179329388,0.001988775652022683,1.689916756759176,-0.47205448929080873,2.4865425498637674
Historical,0.1439212048131318,1800.411,60,Put,-0.13756408206706117,0.001988775652022683,1.689916756759176,-0.15484092990664877,-0.4415826136823253
Historical,0.1439212048131318,1800.411,90,Call,0.8358967240384003,0.0018263245065616043,2.3278164008439806,-0.444096155627881,3.571930301053476
Historical,0.1439212048131318,1800.411,90,Put,-0.16410327596159968,0.0018263245065616043,2.3278164008439806,-0.1285727799269389,-0.7968549009595682
Historical,0.1439212048131318,1857.267,30,Call,0.738828580612557,0.004157690560303997,1.7664513692460053,-0.6623083712830612,1.101193949724194
Historical,0.1439212048131318,1857.267,30,Put,-0.26117141938744304,0.004157690560303997,1.7664513692460053,-0.33332448165589795,-0.41719323317040524
Historical,0.1439212048131318,1857.267,60,Call,0.7117510022259427,0.0030865483051857887,2.62272403434503,-0.5408405381231535,2.0887926371729972
Historical,0.1439212048131318,1857.267,60,Put,-0.2882489977740573,0.0030865483051857887,2.62272403434503,-0.21360954709013885,-0.931801126208675
Historical,0.1439212048131318,1857.267,90,Call,0.7063268756871657,0.002542206027541581,3.2402723962660143,-0.48082088254979527,3.070259087663792
Historical,0.1439212048131318,1857.267,90,Put,-0.2936731243128343,0.002542206027541581,3.2402723962660143,-0.15533345028129564,-1.4364899745154325
Historical,0.1439212048131318,1895.17,30,Call,0.5596612764080631,0.005044636741074222,2.1432825145043295,-0.6965040602549297,0.8418356493121233
Historical,0.1439212048131318,1895.17,30,Put,-0.44033872359193693,0.005044636741074222,2.1432825145043295,-0.36080628599591846,-0.7075386934217748
Historical,0.1439212048131318,1895.17,60,Call,0.5840589328140058,0.0035271334181448968,2.997101186645233,-0.54683515151677,1.7296597545482688
Historical,0.1439212048131318,1895.17,60,Put,-0.4159410671859942,0.0035271334181448968,2.997101186645233,-0.21292604890737762,-1.352578115692275
Historical,0.1439212048131318,1895.17,90,Call,0.6025677230083133,0.00284762793767496,3.629560350860733,-0.4811044683496488,2.6432103414732135
Historical,0.1439212048131318,1895.17,90,Put,-0.3974322769916867,0.00284762793767496,3.629560350860733,-0.14897450695352624,-1.9555122009346366
Historical,0.1439212048131318,1933.073,30,Call,0.37076758776750274,0.004831713958565618,2.052819375112231,-0.6140618966609379,0.5614838482051545
Historical,0.1439212048131318,1933.073,30,Put,-0.6292324122324973,0.004831713958565618,2.052819375112231,-0.27165023777007874,-1.0188776543680418
Historical,0.1439212048131318,1933.073,60,Call,0.44944069175940954,0.0035785033838742703,3.0407516435441404,-0.5099330417098257,1.340700076733904
Historical,0.1439212048131318,1933.073,60,Put,-0.5505593082405904,0.0035785033838742703,3.0407516435441404,-0.16934582752405572,-1.8031819003655116
Historical,0.1439212048131318,1933.073,90,Call,0.49318256095506435,0.0029450919958785384,3.7537871420821047,-0.45757216469552275,2.179848679626474
Historical,0.1439212048131318,1933.073,90,Put,-0.5068174390449356,0.0029450919958785384,3.7537871420821047,-0.1187996741717772,-2.5108473430100027
Historical,0.1439212048131318,1989.929,30,Call,0.15094842038805834,0.0029942505130471017,1.2721480451519889,-0.3550223490385498,0.23018715433988643
Historical,0.1439212048131318,1989.929,30,Put,-0.8490515796119417,0.0029942505130471017,1.2721480451519889,-0.002539597499922666,-1.396656314299931
