Type,Strike,Maturity_Days,Position,Price,Premium,Pos_delta,Pos_gamma,Pos_vega,Pos_theta,Pos_rho
Call,1895.17,30,10,36.4198878805189,364.198878805189,5.59661276408063,0.05044636741074222,21.432825145043296,-6.965040602549298,8.418356493121234
Put,1895.17,30,-5,26.32200487342834,-131.6100243671417,2.201693617959685,-0.02522318370537111,-10.716412572521648,1.8040314299795923,3.537693467108874
Call,1933.073,60,5,36.173969121888604,180.86984560944302,2.2472034587970477,0.01789251691937135,15.203758217720702,-2.5496652085491283,6.703500383669519
Put,1857.267,60,-3,20.564831998817,-61.694495996450996,0.864746993322172,-0.009259644915557367,-7.868172103035091,0.6408286412704165,2.795403378626025
Call,1989.929,90,2,29.030336601929207,58.060673203858414,0.6725076766672833,0.005387556079112506,6.866929374471355,-0.7656828467404022,2.999479809170162
Put,1800.411,90,-2,12.165326551679868,-24.330653103359737,0.32820655192319936,-0.0036526490131232087,-4.655632801687961,0.2571455598538778,1.5937098019191365
